target_id	length	eff_length	est_counts	tpm
TRINITY_DN21551_c1_g1_i1	696	474.906	6057	220.309
TRINITY_DN21515_c0_g1_i1	207	49.0124	46	16.2119
TRINITY_DN21560_c0_g1_i1	501	281.397	27781	1705.34
TRINITY_DN21562_c0_g1_i1	226	57.4559	184	55.3178
TRINITY_DN21482_c0_g1_i1	249	69.4936	24	5.96552
TRINITY_DN21536_c0_g1_i1	223	55.9418	1	0.308777
TRINITY_DN21528_c0_g1_i1	328	123.958	0	0
TRINITY_DN21555_c0_g1_i1	266	79.3836	2	0.435192
TRINITY_DN21564_c1_g1_i1	1470	1248.85	1875	25.9342
TRINITY_DN21546_c0_g1_i1	1899	1677.85	332	3.41795
TRINITY_DN21563_c0_g1_i1	2381	2159.85	385	3.07906
TRINITY_DN21509_c0_g1_i1	243	66.1983	1	0.260937
TRINITY_DN21537_c0_g1_i1	213	51.5545	0	0
TRINITY_DN21561_c0_g1_i1	1528	1306.85	4106	54.2718
TRINITY_DN21553_c0_g1_i1	1372	1150.85	24824.9	372.607
TRINITY_DN21557_c0_g1_i1	327	123.177	1	0.140233
TRINITY_DN21554_c0_g1_i1	250	70.0225	0	0
TRINITY_DN21565_c0_g1_i1	652	431.006	590.981	23.6849
TRINITY_DN21491_c0_g1_i1	241	65.0671	0	0
TRINITY_DN21510_c0_g1_i1	264	78.0148	0	0
TRINITY_DN21568_c1_g1_i1	2135	1913.85	3374	30.4522
TRINITY_DN21566_c0_g1_i1	1066	844.852	421	8.60763
TRINITY_DN21540_c0_g1_i1	2044	1822.85	652	6.17843
TRINITY_DN21539_c0_g1_i1	1210	988.852	3204	55.9684
TRINITY_DN21541_c0_g1_i1	1783	1561.85	1873	20.7148
TRINITY_DN21493_c0_g1_i1	235	61.9204	2	0.557928
TRINITY_DN21548_c0_g1_i1	1291	1069.85	570.914	9.21784
TRINITY_DN21501_c0_g1_i1	322	119.238	6	0.869198
TRINITY_DN21543_c0_g1_i1	1099	877.852	825	16.2336
TRINITY_DN21538_c0_g1_i1	2896	2674.85	140709	908.665
TRINITY_DN21550_c0_g1_i1	283	90.3482	8.66801	1.65723
TRINITY_DN21550_c0_g1_i2	308	108.258	12.1903	1.94507
TRINITY_DN21550_c1_g1_i1	234	61.3419	5.01085	1.41103
