target_id	length	eff_length	est_counts	tpm
TRINITY_DN21551_c1_g1_i1	696	526.771	4490	383.299
TRINITY_DN21515_c0_g1_i1	207	78.7877	24	13.6983
TRINITY_DN21560_c0_g1_i1	501	334.471	17531	2357.01
TRINITY_DN21562_c0_g1_i1	226	93.0895	167	80.6732
TRINITY_DN21482_c0_g1_i1	249	110.846	7	2.83984
TRINITY_DN21536_c0_g1_i1	223	90.8564	0	0
TRINITY_DN21528_c0_g1_i1	328	176.08	0	0
TRINITY_DN21555_c0_g1_i1	266	124.358	0	0
TRINITY_DN21564_c1_g1_i1	1470	1300.44	820	28.3555
TRINITY_DN21546_c0_g1_i1	1899	1729.44	311	8.08666
TRINITY_DN21563_c0_g1_i1	2381	2211.44	261	5.30737
TRINITY_DN21509_c0_g1_i1	243	106.111	2	0.847587
TRINITY_DN21537_c0_g1_i1	213	83.2752	0	0
TRINITY_DN21561_c0_g1_i1	1528	1358.44	2562	84.8112
TRINITY_DN21553_c0_g1_i1	1372	1202.44	16323	610.451
TRINITY_DN21557_c0_g1_i1	327	175.24	0	0
TRINITY_DN21554_c0_g1_i1	250	111.668	0	0
TRINITY_DN21565_c0_g1_i1	652	482.909	404.531	37.6705
TRINITY_DN21491_c0_g1_i1	241	104.543	0	0
TRINITY_DN21510_c0_g1_i1	264	122.759	0	0
TRINITY_DN21568_c1_g1_i1	2135	1965.44	1727	39.5136
TRINITY_DN21566_c0_g1_i1	1066	896.438	376	18.8617
TRINITY_DN21540_c0_g1_i1	2044	1874.44	440	10.5559
TRINITY_DN21539_c0_g1_i1	1210	1040.44	3368	145.569
TRINITY_DN21541_c0_g1_i1	1783	1613.44	1144	31.8851
TRINITY_DN21493_c0_g1_i1	235	99.8821	5	2.25111
TRINITY_DN21548_c0_g1_i1	1291	1121.44	218.401	8.75776
TRINITY_DN21501_c0_g1_i1	322	170.961	19	4.99769
TRINITY_DN21543_c0_g1_i1	1099	929.438	465	22.4981
TRINITY_DN21538_c0_g1_i1	2896	2726.44	82245	1356.52
TRINITY_DN21550_c0_g1_i1	283	137.802	11.5745	3.77711
TRINITY_DN21550_c0_g1_i2	308	158.838	19.1353	5.41745
TRINITY_DN21550_c1_g1_i1	234	99.1002	2.00033	0.907696
TRINITY_DN21550_c1_g1_i3	236	100.678	0	0
TRINITY_DN21517_c0_g1_i1	413	251.396	0	0
TRINITY_DN21517_c0_g1_i2	423	260.659	0	0
TRINITY_DN21559_c0_g1_i1	1033	863.438	231	12.0308
TRINITY_DN21542_c0_g1_i1	2175	2005.44	555	12.4451
TRINITY_DN21471_c0_g1_i2	366	209.002	5	1.0758
TRINITY_DN21471_c0_g1_i1	284	138.64	0	0
TRINITY_DN21490_c0_g1_i1	212	82.508	0	0
TRINITY_DN21547_c0_g1_i1	1239	1069.44	247	10.3862
TRINITY_DN21511_c0_g1_i1	392	232.177	59.5616	11.5361
TRINITY_DN21549_c0_g1_i1	285	139.489	0	0
TRINITY_DN21532_c0_g1_i1	208	79.5359	0	0
TRINITY_DN21470_c0_g1_i1	235	99.8821	36.6539	16.5024
