target_id	length	eff_length	est_counts	tpm
TRINITY_DN21551_c1_g1_i1	696	578.807	2242	181.771
TRINITY_DN21515_c0_g1_i1	207	105.425	6	2.67072
TRINITY_DN21560_c0_g1_i1	501	384.733	1430	174.421
TRINITY_DN21562_c0_g1_i1	226	120.687	147	57.1582
TRINITY_DN21482_c0_g1_i1	249	140.603	36	12.0152
TRINITY_DN21536_c0_g1_i1	223	118.26	1	0.39681
TRINITY_DN21528_c0_g1_i1	328	214.198	0	0
TRINITY_DN21555_c0_g1_i1	266	155.776	2	0.60249
TRINITY_DN21564_c1_g1_i1	1470	1352.51	2236	77.5804
TRINITY_DN21546_c0_g1_i1	1899	1781.51	378	9.95691
TRINITY_DN21563_c0_g1_i1	2381	2263.51	106	2.19758
TRINITY_DN21509_c0_g1_i1	243	135.266	0	0
TRINITY_DN21537_c0_g1_i1	213	110.11	0	0
TRINITY_DN21561_c0_g1_i1	1528	1410.51	1568	52.1664
TRINITY_DN21553_c0_g1_i1	1372	1254.51	14622	546.957
TRINITY_DN21557_c0_g1_i1	327	213.213	0	0
TRINITY_DN21554_c0_g1_i1	250	141.502	0	0
TRINITY_DN21565_c0_g1_i1	652	535.008	143.806	12.6136
TRINITY_DN21491_c0_g1_i1	241	133.552	0	0
TRINITY_DN21510_c0_g1_i1	264	153.932	0	0
TRINITY_DN21568_c1_g1_i1	2135	2017.51	1987.98	46.2399
TRINITY_DN21566_c0_g1_i1	1066	948.512	291	14.397
TRINITY_DN21540_c0_g1_i1	2044	1926.51	245	5.96782
TRINITY_DN21539_c0_g1_i1	1210	1092.51	816	35.0498
TRINITY_DN21541_c0_g1_i1	1783	1665.51	1358	38.2625
TRINITY_DN21493_c0_g1_i1	235	128.329	7	2.55973
TRINITY_DN21548_c0_g1_i1	1291	1173.51	536.804	21.466
TRINITY_DN21501_c0_g1_i1	322	208.421	0	0
TRINITY_DN21543_c0_g1_i1	1099	981.512	561	26.8219
TRINITY_DN21538_c0_g1_i1	2896	2778.51	26318	444.49
TRINITY_DN21550_c0_g1_i1	283	171.426	1.24435	0.340634
TRINITY_DN21550_c0_g1_i2	308	194.893	0	0
TRINITY_DN21550_c1_g1_i1	234	127.471	0	0
TRINITY_DN21550_c1_g1_i3	236	129.182	0	0
TRINITY_DN21517_c0_g1_i1	413	297.635	0	0
TRINITY_DN21517_c0_g1_i2	423	307.514	0	0
TRINITY_DN21559_c0_g1_i1	1033	915.512	263	13.4807
TRINITY_DN21542_c0_g1_i1	2175	2057.51	480	10.9476
TRINITY_DN21471_c0_g1_i2	366	251.252	4	0.747088
TRINITY_DN21471_c0_g1_i1	284	172.318	0	0
TRINITY_DN21490_c0_g1_i1	212	109.261	0	0
TRINITY_DN21547_c0_g1_i1	1239	1121.51	50	2.09212
TRINITY_DN21511_c0_g1_i1	392	276.896	176.831	29.9684
TRINITY_DN21549_c0_g1_i1	285	173.247	0	0
TRINITY_DN21532_c0_g1_i1	208	106.189	0	0
TRINITY_DN21470_c0_g1_i1	235	128.329	363.311	132.854
