OLUR_00005389 	 Q9JLI7
OLUR_00009326 	 Q8Q0U0
OLUR_00009499 	 Q96MM6
OLUR_00005464 	 Q9JHX2
OLUR_00007615 	 Q9BYD3
OLUR_00007616 	 P62489
OLUR_00003348 	 Q5ZM73
OLUR_00017868 	 Q6XVG2
OLUR_00011751 	 Q9UHC1
OLUR_00019170 	 O18373
OLUR_00024133 	 O75132
OLUR_00013486 	 Q5S1U1
OLUR_00017259 	 V5NAL9
OLUR_00002946 	 Q9GUM2
OLUR_00017705 	 O42563
OLUR_00011395 	 Q92752
OLUR_00010578 	 Q8N531
OLUR_00010579 	 Q4KL94
OLUR_00008797 	 Q9P2G1
OLUR_00009334 	 Q9EP71
OLUR_00021171 	 P31335
OLUR_00008856 	 Q8VC56
OLUR_00004009 	 Q24307
OLUR_00020354 	 O42563
OLUR_00010734 	 Q9CWR2
OLUR_00010735 	 Q9CWR2
OLUR_00021870 	 Q8N7M0
OLUR_00017364 	 Q4H0T5
OLUR_00002120 	 Q9I8C7
OLUR_00023089 	 P23470
OLUR_00020683 	 Q8EXJ3
OLUR_00007808 	 Q04164
OLUR_00008107 	 Q5SPF7
OLUR_00022705 	 Q8VDW4
OLUR_00014140 	 Q8R323
OLUR_00004733 	 Q15269
OLUR_00012366 	 Q28FH2
OLUR_00007826 	 O00411
OLUR_00007828 	 A2A825
OLUR_00014777 	 Q06805
OLUR_00020476 	 Q7TQP3
OLUR_00010617 	 Q761V0
OLUR_00004656 	 Q4QR86
OLUR_00007230 	 E1BD59
OLUR_00009167 	 P18293
OLUR_00017234 	 V5NAL9
OLUR_00002052 	 Q5RC14
OLUR_00002054 	 Q9BZZ5
OLUR_00019399 	 Q02858
OLUR_00008393 	 Q5JU85
OLUR_00013934 	 P17671
OLUR_00018861 	 P14210
OLUR_00002238 	 Q7SIC1
OLUR_00005259 	 Q8NDN9
OLUR_00020982 	 Q00546
OLUR_00015641 	 P98158
OLUR_00009804 	 Q6NVP8
OLUR_00003611 	 Q9I8C7
OLUR_00003610 	 Q15822
OLUR_00015607 	 Q9JI67
OLUR_00005377 	 Q9NYM4
OLUR_00023296 	 Q59RQ0
OLUR_00021385 	 Q96RW7
OLUR_00017214 	 Q9ULW3
OLUR_00020372 	 Q95JJ0
OLUR_00014702 	 P10181
OLUR_00019363 	 Q8BQZ4
OLUR_00013060 	 O43301
OLUR_00010211 	 A0A1B0GTD5
OLUR_00010210 	 Q4R6V2
OLUR_00006028 	 Q4R5T4
OLUR_00016728 	 Q9VCA2
OLUR_00009277 	 P83425
OLUR_00014564 	 Q5ZM14
OLUR_00022981 	 P34118
OLUR_00005322 	 A0A0F7YZI5
OLUR_00017280 	 Q91YM4
OLUR_00006503 	 Q9GL24
OLUR_00022898 	 Q9D273
OLUR_00014515 	 Q8IWV2
OLUR_00001470 	 A6N6J5
OLUR_00001469 	 P58374
OLUR_00010015 	 P19835
OLUR_00006313 	 Q8BHT6
OLUR_00010560 	 Q0P5B7
OLUR_00014894 	 Q9Y2P5
OLUR_00013796 	 P59222
OLUR_00007246 	 Q63470
OLUR_00004427 	 Q80TF3
OLUR_00004426 	 Q64121
OLUR_00022831 	 D4AUF1
OLUR_00019259 	 Q8BFR5
OLUR_00021793 	 Q5I085
OLUR_00014553 	 Q8TC29
OLUR_00012764 	 Q9BY49
OLUR_00010175 	 Q99046
OLUR_00000790 	 O62169
OLUR_00007470 	 Q90ZE4
OLUR_00014348 	 P31836
OLUR_00015142 	 Q8BNQ3
OLUR_00020730 	 P09917
OLUR_00017957 	 Q62730
OLUR_00019070 	 P08842
OLUR_00008578 	 A0JM12
OLUR_00005023 	 P51570
OLUR_00016846 	 P47751
OLUR_00000249 	 Q6GMN2
OLUR_00020834 	 Q4T2X8
OLUR_00012979 	 P43143
OLUR_00003407 	 Q9J5I3
OLUR_00010960 	 A3KPP4
OLUR_00000860 	 B1AS42
OLUR_00001096 	 M0RC99
OLUR_00001095 	 Q05B67
OLUR_00001097 	 Q20930
OLUR_00010999 	 A0ZT93
OLUR_00017576 	 P80646
OLUR_00006759 	 Q8BZ20
OLUR_00016066 	 P62997
OLUR_00021697 	 P97587
OLUR_00002403 	 Q9TU53
OLUR_00006537 	 Q9DAG6
OLUR_00024011 	 P86854
OLUR_00015575 	 P43114
OLUR_00011654 	 O18783
OLUR_00021891 	 P58304
OLUR_00016390 	 Q4R6W9
OLUR_00015285 	 Q6P5L7
OLUR_00008668 	 Q80XI3
OLUR_00022330 	 Q8R508
OLUR_00015331 	 Q9Z0P7
OLUR_00020600 	 Q9Z1P6
OLUR_00001241 	 P55043
OLUR_00001240 	 Q6P9H5
OLUR_00002295 	 O95625
OLUR_00022865 	 Q9P2N4
OLUR_00006969 	 Q8VI02
OLUR_00006166 	 Q8N0N3
OLUR_00012516 	 P28840
OLUR_00009974 	 A3KPW9
OLUR_00009665 	 B0JZG0
OLUR_00005324 	 Q17QS1
OLUR_00011741 	 D4A6L0
OLUR_00015581 	 Q90YI8
OLUR_00018123 	 Q92630
OLUR_00016962 	 Q90369
OLUR_00001783 	 Q6V0I7
OLUR_00002127 	 Q28I90
OLUR_00003062 	 Q9D187
OLUR_00003063 	 P51987
OLUR_00010144 	 Q9VZW5
OLUR_00002034 	 O01670
OLUR_00005137 	 P52756
OLUR_00021597 	 A6NMZ7
OLUR_00016278 	 Q9W676
OLUR_00006261 	 A2ARS0
OLUR_00011692 	 Q5M9P8
OLUR_00006184 	 Q9VTJ8
OLUR_00006185 	 Q6TAW2
OLUR_00000773 	 O18793
OLUR_00004327 	 Q9QXV1
OLUR_00021676 	 P50578
OLUR_00017230 	 P60707
OLUR_00003766 	 Q9EQH2
OLUR_00024408 	 B0BLT0
OLUR_00007005 	 Q6NUI6
OLUR_00007006 	 Q23551
OLUR_00005136 	 Q5ZLD3
OLUR_00006722 	 A0JPI9
OLUR_00009889 	 A6BM72
OLUR_00001234 	 P20693
OLUR_00002542 	 Q9C0D3
OLUR_00018322 	 P09480
OLUR_00013925 	 Q91447
OLUR_00003073 	 P67998
OLUR_00024605 	 P46530
OLUR_00020908 	 P18172
OLUR_00020907 	 Q00593
OLUR_00020986 	 Q5SNX7
OLUR_00008480 	 P33945
OLUR_00004297 	 Q5IS41
OLUR_00011889 	 P18173
OLUR_00019036 	 Q8BGS2
OLUR_00010855 	 Q6UX65
OLUR_00014384 	 Q8K0U4
OLUR_00023675 	 Q7PCJ9
OLUR_00008896 	 P83425
OLUR_00008897 	 Q96FN4
OLUR_00008898 	 Q86YQ8
OLUR_00013304 	 Q70LM4
OLUR_00016122 	 Q96GP6
OLUR_00021565 	 P54145
OLUR_00007684 	 Q7TT28
OLUR_00021762 	 O14734
OLUR_00007367 	 Q96WM9
OLUR_00018011 	 P33005
OLUR_00000221 	 Q9TV98
OLUR_00013033 	 A2RSJ4
OLUR_00019584 	 B3EWY9
OLUR_00002889 	 P25931
OLUR_00022571 	 O70497
OLUR_00016523 	 Q05B21
OLUR_00006356 	 Q8J0I9
OLUR_00006358 	 P04062
OLUR_00006942 	 P81140
OLUR_00013901 	 Q08C99
OLUR_00003943 	 P50748
OLUR_00004132 	 Q9Y5K3
OLUR_00014991 	 Q9MYM7
OLUR_00003114 	 Q4ZJM9
OLUR_00004003 	 Q2NL21
OLUR_00020459 	 Q96CA5
OLUR_00021138 	 P48987
OLUR_00019889 	 Q02858
OLUR_00010226 	 O97562
OLUR_00011589 	 P34456
OLUR_00005898 	 P37089
OLUR_00023163 	 P51638
OLUR_00010462 	 Q9D6T1
OLUR_00010463 	 A4IF63
OLUR_00001820 	 A7S1L6
OLUR_00007979 	 P10160
OLUR_00002221 	 P04937
OLUR_00023127 	 Q86Z23
OLUR_00007549 	 P30974
OLUR_00017078 	 Q9R1X5
OLUR_00020361 	 Q9WVM6
OLUR_00023761 	 Q502X0
OLUR_00015923 	 O73791
OLUR_00012077 	 Q94B65
OLUR_00009946 	 E9Q4F7
OLUR_00005644 	 P18075
OLUR_00005645 	 P23359
OLUR_00020444 	 Q91X96
OLUR_00020445 	 P44121
OLUR_00002258 	 Q8K2V6
OLUR_00008953 	 P51910
OLUR_00008954 	 P51910
OLUR_00023243 	 Q8K0U4
OLUR_00006211 	 Q8CHG3
OLUR_00015595 	 A1L0Y2
OLUR_00022142 	 Q9H8H3
OLUR_00006074 	 O42574
OLUR_00002409 	 Q8BGZ3
OLUR_00005042 	 Q8BWQ4
OLUR_00007695 	 F1N5S9
OLUR_00020531 	 Q86QI0
OLUR_00008395 	 P48180
OLUR_00013266 	 P09628
OLUR_00022829 	 Q99087
OLUR_00005998 	 A8HMZ4
OLUR_00005569 	 Q9Y4A5
OLUR_00003798 	 Q924Z6
OLUR_00003797 	 O17287
OLUR_00010688 	 O35125
OLUR_00004683 	 P19439
OLUR_00007668 	 Q15149
OLUR_00011878 	 Q28C44
OLUR_00021616 	 Q9UUA2
OLUR_00007076 	 Q6DFQ7
OLUR_00001716 	 Q62101
OLUR_00001182 	 P16157
OLUR_00019097 	 P33450
OLUR_00016818 	 O43301
OLUR_00010158 	 P23978
OLUR_00018759 	 Q96KG7
OLUR_00020568 	 Q6ICH7
OLUR_00012641 	 P18142
OLUR_00017275 	 Q93VJ2
OLUR_00011930 	 B3EWZ6
OLUR_00013112 	 Q9MYM7
OLUR_00023355 	 Q3T0Z7
OLUR_00009445 	 Q5BK68
OLUR_00009446 	 P20397
OLUR_00017684 	 Q4LDE5
OLUR_00018239 	 Q9HCJ5
OLUR_00011105 	 Q6AZB8
OLUR_00017972 	 Q9Z139
OLUR_00014815 	 A6NMZ7
OLUR_00011049 	 Q14678
OLUR_00019434 	 Q5BL29
OLUR_00001438 	 Q9HC56
OLUR_00001437 	 Q5DRF1
OLUR_00011054 	 Q920Q8
OLUR_00009810 	 Q5XM24
OLUR_00018018 	 Q80UM7
